Name,Colors,Deck,Life,Tier,Boss,Difficulty,Include
Sen Triplets,WUB,sen_triplets,30,Rare,N,2.0,Y
Thraximundar,UBR,thraximundar,30,Uncommon,N,1.0,Y
Drivnod,B,drivnod,28,Rare,N,2.0,Y
Vraan,B,vraan,32,Rare,N,2.0,Y
Kinzu,B,kinzu,12,Common,N,0.1,Y
Elas il-Kor,WB,elas_il-kor,30,Uncommon,N,1.0,Y
Aeve,G,aeve,27,Rare,N,2.0,Y
Experiment Kraj,UG,experiment_kraj,30,Rare,N,2.0,Y
Mitotic Ultimus,G,mitotic_ultimus,26,Rare,N,2.0,Y
Slogurk,UG,slogurk,30,Rare,N,2.0,Y
Terrian,G,terrian,32,Uncommon,N,2.0,Y
Toxrill,UB,toxrill,30,Uncommon,N,2.0,Y
Yennett,WUB,yennett,30,Rare,N,2.0,Y
Atemsis,U,atemsis,43,Mythic,N,3.0,Y
Eligeth and Anara,UG,eligeth_and_anara,30,Rare,N,2.0,Y
Arjun,UR,arjun,30,Uncommon,N,2.0,Y
Medomai,WU,medomai,30,Uncommon,N,2.0,Y
Camellia,BG,camellia,30,Rare,N,2.0,Y
Hazel,BG,hazel,30,Rare,N,2.0,Y
Euru,BG,euru,30,Rare,N,2.0,Y
Toski,G,toski,31,Uncommon,N,1.0,Y
Calamity,R,calamity,32,Rare,N,2.0,Y
Felix,UBG,felix,30,Rare,N,2.0,Y
Honest Rutstein,BG,honest_rutstein,30,Rare,N,2.0,Y
Jolene,RG,jolene,30,Rare,N,2.0,Y
Laughing Jasper Flint,BR,laughing_jasper_flint,30,Rare,N,2.0,Y
Obeka,UBR,obeka,30,Rare,N,2.0,Y
Roxanne,RG,roxanne,30,Rare,N,2.0,Y
Satoru,UB,satoru,30,Rare,N,2.0,Y
Tinybones,B,tinybones,27,Rare,N,2.0,Y
Vraska,BG,vraska,30,Rare,N,2.0,Y
Jolrael,UG,jolrael,30,Uncommon,N,2.0,Y
Mangara,W,mangara,34,Rare,N,2.0,Y
Niambi,WU,niambi,30,Rare,N,2.0,Y
Sidar Jabari,WUB,sidar_jabari,30,Rare,N,2.0,Y
Subira,R,subira,28,Uncommon,N,2.0,Y
Anikthea,WBG,anikthea,30,Rare,N,2.0,Y
Arasta,G,arasta,39,Rare,N,2.0,Y
Calix,WG,calix,30,Rare,N,2.0,Y
Atris,UB,atris,30,Rare,N,2.0,Y
Kunoros,WB,kunoros,30,Rare,N,2.0,Y
Kethek,BR,kethek,30,Rare,N,2.0,Y
Ovika,UR,ovika,30,Uncommon,N,1.0,Y
Solphim,R,solphim,20,Uncommon,N,1.0,Y
Harbin,WU,harbin,30,Rare,N,2.0,Y
Queen Kayla,WR,queen_kayla,30,Rare,N,2.0,Y
Tocasia,WUG,tocasia,30,Rare,N,2.0,Y
Rusko,UB,rusko,30,Rare,N,2.0,Y
Tawnos,WUB,tawnos,30,Rare,N,2.0,Y
Glissa,BG,glissa,30,Uncommon,N,2.0,Y
Rothga,G,rothga,30,Rare,N,2.0,Y
Vexyr,WUG,vexyr,30,Rare,N,2.0,Y
Zopandrel,G,zopandrel,46,Mythic,N,3.0,Y
Halvar,W,halvar,30,Rare,N,2.0,Y
Ojer Taq,W,ojer_taq,26,Rare,N,2.0,Y
Oketra,W,oketra,27,Rare,N,2.0,Y
Reidane,W,reidane,26,Rare,N,2.0,Y
Adeliz,UR,adeliz,30,Uncommon,N,1.0,Y
Azami,U,azami,30,Rare,N,2.0,Y
Deekah,U,deekah,31,Rare,N,2.0,Y
Jalira,U,jalira,34,Rare,N,2.0,Y
Kess,UBR,kess,30,Rare,N,2.0,Y
Lier,U,lier,31,Uncommon,N,1.0,Y
Mairsil,UBR,mairsil,30,Rare,N,2.0,Y
Pol Jamaar,U,pol_jamaar,22,Uncommon,N,1.0,Y
Rasputin,WU,rasputin,30,Rare,N,2.0,Y
Rielle,UR,rielle,30,Uncommon,N,1.0,Y
Talrand,U,talrand,20,Uncommon,N,1.0,Y
The Archimandrite,WUR,the_archimandrite,30,Rare,N,2.0,Y
Vadrik,UR,vadrik,30,Rare,N,2.0,Y
Jori En,UR,jori_en,30,Uncommon,N,1.0,Y
Kaza,UR,kaza,30,Rare,N,2.0,Y
Kazuul,R,kazuul,17,Uncommon,N,1.0,Y
Moraug,R,moraug,29,Uncommon,N,1.0,Y
Phylath,RG,phylath,30,Uncommon,N,1.0,Y
Zagras,BR,zagras,30,Uncommon,N,1.0,Y
Anafenza,WBG,anafenza,20,Uncommon,N,1.0,Y
Betor,WBG,betor,20,Rare,N,2.0,Y
Daghatar,WBG,daghatar,20,Uncommon,N,1.0,Y
Hamza,WBG,hamza,20,Uncommon,N,2.0,Y
Azor,WU,azor,20,Rare,N,2.0,Y
Bruvac,U,bruvac,27,Rare,N,2.0,Y
Isperia,WU,isperia,20,Uncommon,N,1.0,Y
Lavinia,WU,lavinia,20,Uncommon,N,1.0,Y
Agrus Kos,WR,agrus_kos,20,Rare,N,2.0,Y
Feather,WR,feather,20,Uncommon,N,1.0,Y
General Ferrous,WR,general_ferrous,20,Rare,N,2.0,Y
Tajic,WR,tajic,20,Rare,N,2.0,Y
Siani and Esior,U,siani_and_esior,11,Common,N,0.1,Y
Najal,UR,najal,20,Uncommon,N,2.0,Y
Zahid,U,zahid,19,Uncommon,N,1.0,Y
Brago,WU,brago,20,Uncommon,N,2.0,Y
Muzzio,U,muzzio,19,Rare,N,2.0,Y
Selvala,WG,selvala,20,Uncommon,N,1.0,Y
Cadric,WR,cadric,20,Rare,N,2.0,Y
Cayth,WUR,cayth,20,Rare,N,2.0,Y
Depala,WR,depala,20,Uncommon,N,2.0,Y
Hofri,WR,hofri,20,Uncommon,N,2.0,Y
Irini,B,irini,23,Uncommon,N,1.0,Y
Koll,WR,koll,20,Uncommon,N,1.0,Y
Reveka,U,reveka,18,Uncommon,N,1.0,Y
Reyav,WR,reyav,20,Uncommon,N,1.0,Y
Migloz,RG,migloz,20,Uncommon,N,1.0,Y
Sethron,BR,sethron,20,Uncommon,N,1.0,Y
Vnwxt,U,vnwxt,20,Uncommon,N,1.0,Y
Gornog,R,gornog,19,Rare,N,2.0,Y
Firesong and Sunspeaker,WR,firesong_and_sunspeaker,20,Common,N,0.1,Y
Isu,WUG,isu,20,Uncommon,N,1.0,Y
Moritte,UG,moritte,20,Uncommon,N,1.0,Y
Narfi,UB,narfi,20,Uncommon,N,1.0,Y
Svella,RG,svella,20,Uncommon,N,1.0,Y
Baral,U,baral,21,Rare,N,2.0,Y
Gonti,B,gonti,32,Rare,N,2.0,Y
Hope of Ghirapur,C,hope_of_ghirapur,20,Rare,N,1.0,Y
Kambal,WB,kambal,20,Uncommon,N,1.0,Y
Oviya,G,oviya,17,Uncommon,N,1.0,Y
Padeem,U,padeem,44,Mythic,N,3.0,Y
Pia Nalaar,URG,pia_nalaar,20,Rare,N,2.0,Y
Saheeli,UR,saheeli,20,Uncommon,N,1.0,Y
Sram,W,sram,22,Uncommon,N,1.0,Y
Yahenni,B,yahenni,20,Uncommon,N,1.0,Y
Izoni,BG,izoni,20,Rare,N,2.0,Y
Mazirek,BG,mazirek,20,Rare,N,2.0,Y
Savra,BG,savra,20,Uncommon,N,1.0,Y
Varolz,BG,varolz,20,Rare,N,2.0,Y
Anzrag,RG,anzrag,20,Rare,N,2.0,Y
Nikya,RG,nikya,20,Rare,N,2.0,Y
Ruric Thar,RG,ruric_thar,20,Rare,N,2.0,Y
Yarus,RG,yarus,20,Rare,N,2.0,Y
Grimgrin,UB,grimgrin,20,Rare,N,2.0,Y
Jadar,B,jadar,29,Rare,N,2.0,Y
Ludevic and Kraum,UR,ludevic_and_kraum,20,Rare,N,2.0,Y
Mikaeus,B,mikaeus,18,Uncommon,N,1.0,Y
Umbris,UB,umbris,20,Rare,N,2.0,Y
Ozox,B,ozox,18,Uncommon,N,1.0,Y
Millicent,WU,millicent,20,Rare,N,2.0,Y
Circu,UB,circu,20,Uncommon,N,1.0,Y
Etrata,UB,etrata,20,Rare,N,2.0,Y
Mirko,UB,mirko,20,Rare,N,2.0,Y
Szadek,UB,szadek,20,Uncommon,N,1.0,Y
Captain Storm,UR,captain_storm,20,Common,N,1.0,Y
Kari Zev,R,kari_zev,19,Uncommon,N,1.0,Y
Malcolm and Breeches,UR,malcolm_and_breeches,20,Uncommon,N,2.0,Y
Ramirez,UB,ramirez_depietro,20,Uncommon,N,1.0,Y
Sala,UR,sala,20,Rare,N,2.0,Y
Zara,UR,zara,20,Rare,N,2.0,Y
Ayula,G,ayula,11,Common,N,0.1,Y
Duskana,WRG,duskana,20,Rare,N,2.0,Y
Hurska,WG,hurska,20,Uncommon,N,1.0,Y
Kudo,WG,kudo,30,Uncommon,N,2.0,Y
Ruxa,G,ruxa,21,Rare,N,2.0,Y
Aatchik,BG,aatchik,20,Uncommon,N,1.0,Y
Amzu,BG,amzu,20,Uncommon,N,1.0,Y
Fumulus,B,fumulus,18,Common,N,0.1,Y
Grist,BG,grist,20,Uncommon,N,2.0,Y
Vishgraz,WBG,vishgraz,20,Uncommon,N,1.0,Y
Zabaz,WR,zabaz,20,Rare,N,2.0,Y
Zask,BG,zask,20,Uncommon,N,1.0,Y
Melek,UR,melek,20,Rare,N,2.0,Y
Ral,UR,ral,20,Rare,N,2.0,Y
Mizzix,UR,mizzix,20,Uncommon,N,2.0,Y
Elsha,WUR,elsha,20,Rare,N,2.0,Y
Shiko,WUR,shiko,20,Uncommon,N,1.0,Y
Shu Yun,WUR,shu_yun,20,Uncommon,N,1.0,Y
Xho Cai,WUR,xho_cai,20,Uncommon,N,2.0,Y
Jinnie Fay,WRG,jinnie_fay,20,Uncommon,N,1.0,Y
Kitt Kanto,WRG,kitt_kanto,20,Rare,N,2.0,Y
Phabine,WRG,phabine,20,Rare,N,2.0,Y
Rocco,WRG,rocco,20,Rare,N,2.0,Y
Arni,R,arni,30,Rare,N,2.0,Y
Fynn,G,fynn,21,Uncommon,N,1.0,Y
Lathril,BG,lathril,20,Uncommon,N,1.0,Y
Maja,WG,maja,20,Uncommon,N,1.0,Y
Orvar,U,orvar,12,Common,N,0.1,Y
Ranar,WU,ranar,20,Uncommon,N,1.0,Y
Varragoth,B,varragoth,33,Rare,N,2.0,Y
Liberator,C,liberator,20,Rare,N,2.0,Y
The Peregrine Dynamo,C,the_peregrine_dynamo,20,Rare,N,1.0,Y
Traxos,C,traxos,20,Uncommon,N,1.0,Y
Nogi,R,nogi,28,Rare,N,2.0,Y
Rograkh and Ardenn,WR,rograkh_and_ardenn,20,Uncommon,N,1.0,Y
Rohgahh,BR,rohgahh,20,Uncommon,N,1.0,Y
Rosnakht,R,rosnakht,12,Common,N,0.1,Y
Akim,WUR,akim,20,Rare,N,2.0,Y
Gyruda,UB,gyruda,20,Uncommon,N,2.0,Y
Kaheera,WG,kaheera,20,Uncommon,N,2.0,Y
Kalamax,URG,kalamax,20,Rare,N,2.0,Y
Kathril,WBG,kathril,20,Rare,N,2.0,Y
Keruga,UG,keruga,20,Rare,N,2.0,Y
Lurrus,WB,lurrus,20,Uncommon,N,2.0,Y
Obosh,BR,obosh,20,Uncommon,N,1.0,Y
Umori,BG,umori,20,Uncommon,N,1.0,Y
Otrimi,UBG,otrimi,20,Uncommon,N,2.0,Y
Tayam,WBG,tayam,20,Rare,N,2.0,Y
Xyris,URG,xyris,20,Uncommon,N,1.0,Y
Yorion,WU,yorion,20,Uncommon,N,1.0,Y
Zirda,WR,zirda,20,Rare,N,2.0,Y
Arahbo,WG,arahbo,20,Rare,N,1.0,Y
Ajani,WR,ajani,30,Rare,N,2.0,Y
Jedit,WUG,jedit_ojanen,20,Rare,N,2.0,Y
Qala,W,qala,21,Uncommon,N,1.0,Y
Rin and Seri,WRG,rin_and_seri,30,Rare,N,2.0,Y
Alibou,WR,alibou,20,Rare,N,2.0,Y
Osgir,WR,osgir,20,Rare,N,2.0,Y
Plargg,WR,plargg,20,Rare,N,2.0,Y
Quintorius,WR,quintorius,20,Rare,N,2.0,Y
Tersa,R,tersa,13,Common,N,0.1,Y
Alesha,WBR,alesha,30,Rare,N,2.0,Y
Neriv,WBR,neriv,20,Rare,N,2.0,Y
Akawalli,BG,akawalli,20,Common,N,1.0,Y
Ghave,WBG,ghave,20,Uncommon,N,1.0,Y
The Necrobloom,WBG,the_necrobloom,20,Uncommon,N,1.0,Y
Shroofus,G,shroofus,18,Uncommon,N,1.0,Y
Thelon,BG,thelon,20,Uncommon,N,1.0,Y
Xavier Sal,UBG,xavier_sal,20,Uncommon,N,2.0,Y
Tiana,WR,tiana,20,Rare,N,2.0,Y
Raff,WU,raff,20,Rare,N,2.0,Y
Arvad,WB,arvad,20,Rare,N,2.0,Y
Shanna,WG,shanna,20,Rare,N,2.0,Y
Gerrard,WR,gerrard,20,Uncommon,N,2.0,Y
Hanna,WU,hanna,20,Uncommon,N,1.0,Y
Tahngarth,R,tahngarth,18,Uncommon,N,1.0,Y
Squee,R,squee,19,Uncommon,N,1.0,Y
Mirri,WG,mirri,20,Rare,N,2.0,Y
Annie Flash,WRG,annie_flash,20,Rare,N,2.0,Y
Bonny Pall,UG,bonny_pall,20,Rare,N,2.0,Y
Bruse Tarl,WR,bruse_tarl,20,Uncommon,N,1.0,Y
Ertha Jo,WR,ertha_jo,20,Rare,N,2.0,Y
Bristly Bill,G,bristly_bill,18,Rare,N,2.0,Y
Kellan,WUG,kellan,20,Uncommon,N,1.0,Y
Kirri,WRG,kirri,20,Rare,N,2.0,Y
Lilah,UR,lilah,20,Rare,N,2.0,Y
Miriam,WG,miriam,20,Rare,N,2.0,Y
Stella Lee,UR,stella_lee,20,Rare,N,2.0,Y
Taii Wakeen,WR,taii_wakeen,20,Uncommon,N,1.0,Y
Vihaan,WBR,vihaan,20,Rare,N,2.0,Y
Obzedat,WB,obzedat,20,Uncommon,N,2.0,Y
Tomik,WB,tomik,20,Rare,N,2.0,Y
Veko,WB,veko,20,Rare,N,2.0,Y
Azusa,G,azusa,47,Mythic,N,3.0,Y
Hapatra,BG,hapatra,20,Uncommon,N,1.0,Y
Ellivere,WG,ellivere,20,Rare,N,2.0,Y
Gallia,RG,gallia,30,Uncommon,N,1.0,Y
Halana and Alena,RG,halana_and_alena,20,Rare,N,2.0,Y
Bess,WG,bess,20,Uncommon,N,1.0,Y
Jyoti,UG,jyoti,20,Rare,N,2.0,Y
Kamahl,G,kamahl,22,Rare,N,2.0,Y
Nemata,BG,nemata,30,Uncommon,N,1.0,Y
Doc Aurlock,UG,doc_aurlock,20,Uncommon,N,1.0,Y
Baru,G,baru,20,Uncommon,N,1.0,Y
Six,G,six,27,Rare,N,2.0,Y
Rishkar,G,rishkar,11,Common,N,0.1,Y
Yeva,G,yeva,20,Uncommon,N,1.0,Y
Alandra,U,alandra,19,Uncommon,N,1.0,Y
Alquist Proft,WU,alquist_proft,20,Rare,N,2.0,Y
Captain Howler,UR,captain_howler,20,Uncommon,N,1.0,Y
Bria,UR,bria,20,Rare,N,2.0,Y
Kira,U,kira,30,Rare,N,2.0,Y
Nymris,UB,nymris,20,Rare,N,2.0,Y
Omo,UG,omo,20,Uncommon,N,1.0,Y
Sai,U,sai,19,Uncommon,N,1.0,Y
Sakashima,U,sakashima,53,Mythic,N,3.0,Y
Shorikai,WU,shorikai,30,Rare,N,2.0,Y
Tamiyo,UG,tamiyo,30,Uncommon,N,2.0,Y
Eloise,UB,eloise,20,Rare,N,2.0,Y
Tetsuko,U,tetsuko,22,Uncommon,N,1.0,Y
Chishiro,RG,chishiro,20,Rare,N,2.0,Y
Dalakos,UR,dalakos,20,Uncommon,N,1.0,Y
Zurzoth,R,zurzoth,12,Common,N,0.1,Y
Norin,R,norin,19,Uncommon,N,1.0,Y
Laelia,R,laelia,11,Common,N,0.1,Y
Jeska,R,jeska,21,Uncommon,N,1.0,Y
Kalemne,WR,kalemne,20,Uncommon,N,2.0,Y
Orthion,R,orthion,20,Uncommon,N,1.0,Y
Rivaz,BR,rivaz,30,Rare,N,2.0,Y
Sarkhan,UR,sarkhan,30,Rare,N,2.0,Y
Thromok,RG,thromok,20,Uncommon,N,1.0,Y
Tor Wauki,BR,tor_wauki,20,Common,N,0.1,Y
Abuelo,WU,abuelo,20,Uncommon,N,1.0,Y
Adeline,W,adeline,22,Uncommon,N,1.0,Y
Anya,WR,anya,20,Rare,N,2.0,Y
Danitha,W,danitha,12,Common,N,0.1,Y
Delney,W,delney,19,Uncommon,N,1.0,Y
Denry Klin,WU,denry_klin,20,Uncommon,N,1.0,Y
Kyler,WG,kyler,30,Uncommon,N,2.0,Y
Kytheon,W,kytheon,34,Rare,N,2.0,Y
Leinore,WG,leinore,20,Rare,N,2.0,Y
Odric,W,odric,19,Rare,N,2.0,Y
Orah,WB,orah,20,Uncommon,N,2.0,Y
Thalisse,WB,thalisse,20,Uncommon,N,1.0,Y
Wyleth,WR,wyleth,30,Uncommon,N,1.0,Y
Yoshimaru,W,yoshimaru,31,Rare,N,2.0,Y
Anowon,UB,anowon,20,Uncommon,N,1.0,Y
Ratadrabik,WB,ratadrabik,30,Uncommon,N,1.0,Y
Braids,B,braids,32,Uncommon,N,1.0,Y
Chainer,BR,chainer,20,Rare,N,2.0,Y
Endrek,B,endrek,22,Uncommon,N,1.0,Y
Grismold,BG,grismold,20,Uncommon,N,2.0,Y
The Raven Man,B,the_raven_man,22,Uncommon,N,1.0,Y
Gorex,B,gorex,18,Uncommon,N,1.0,Y
Nefarox,B,nefarox,21,Uncommon,N,1.0,Y
Skullbriar,BG,skullbriar,20,Uncommon,N,1.0,Y
Syrix,BR,syrix,20,Rare,N,2.0,Y
Tevesh Szat,B,tevesh_szat,22,Uncommon,N,1.0,Y
Vish Kal,WB,vish_kal,20,Uncommon,N,1.0,Y
Yuriko,UB,yuriko,30,Uncommon,N,1.0,Y
Archelos,UBG,archelos,20,Uncommon,N,1.0,Y
Colfenor,WBG,colfenor,20,Common,N,0.1,Y
Gimbal,URG,gimbal,20,Rare,N,2.0,Y
Kaust,WRG,kaust,20,Rare,N,2.0,Y
Kestia,WUG,kestia,20,Uncommon,N,1.0,Y
Yurlok,BRG,yurlok,20,Rare,N,2.0,Y
Jenson,WUBRG,jenson_carthalion,30,Rare,N,2.0,Y
Morska,WUG,morska,20,Rare,N,2.0,Y
Goro-Goro and Satoru,UBR,goro-goro_and_satoru,20,Uncommon,N,2.0,Y
Loot,URG,loot,20,Rare,N,2.0,Y
Sevinne,WUR,sevinne,20,Uncommon,N,2.0,Y
Yarok,UBG,yarok,20,Rare,N,2.0,Y
Arna,WUB,arna,20,Uncommon,N,1.0,Y
Codie,WUBRG,codie,30,Rare,N,2.0,Y
Averna,URG,averna,20,Uncommon,N,2.0,Y
Ghired,WRG,ghired,20,Rare,N,2.0,Y
Shanid,WBR,shanid,20,Rare,N,2.0,Y
Lynde,UBR,lynde,20,Uncommon,N,1.0,Y
Leori,WUR,leori,20,Rare,N,2.0,Y
Shattergang Brothers,BRG,shattergang_brothers,20,Uncommon,N,1.0,Y
Karona,WUBRG,karona,30,Rare,N,2.0,Y
Aminatou,WUB,aminatou,20,Uncommon,N,1.0,Y
Ghen,WBR,ghen,20,Uncommon,N,1.0,Y
Kasla,WUR,kasla,20,Uncommon,N,1.0,Y
Narci,WBG,narci,20,Rare,N,2.0,Y
Obuun,WRG,obuun,20,Uncommon,N,1.0,Y
Roon,WUG,roon,20,Uncommon,N,1.0,Y
Kyodai,WUBRG,kyodai,30,Rare,N,2.0,Y
Coram,BRG,coram,20,Rare,N,2.0,Y
Licia,WBR,licia,20,Rare,N,2.0,Y
Rayami,UBG,rayami,20,Uncommon,N,1.0,Y
Sol'Kanar,UBR,sol'kanar,20,Rare,N,2.0,Y
Varina,WUB,varina,20,Rare,N,2.0,Y
Atogatog,WUBRG,atogatog,30,Uncommon,N,1.0,Y
Rootha,UR,rootha,20,Rare,N,2.0,Y
Uvilda,UR,uvilda,20,Rare,N,2.0,Y
Veyran,UR,veyran,20,Uncommon,N,1.0,Y
Zaffai,UR,zaffai,20,Rare,N,2.0,Y
Adrix and Nev,UG,adrix_and_nev,20,Rare,N,2.0,Y
Esix,UG,esix,20,Uncommon,N,1.0,Y
Kianne,UG,kianne,20,Uncommon,N,1.0,Y
Zimone,UG,zimone,20,Rare,N,2.0,Y
Kamiz,WUB,kamiz,20,Rare,N,2.0,Y
Queza,WUB,queza,20,Rare,N,2.0,Y
Tivit,WUB,tivit,20,Uncommon,N,2.0,Y
Toluz,WUB,toluz,20,Uncommon,N,2.0,Y
Exava,BR,exava,20,Uncommon,N,1.0,Y
Judith,BR,judith,20,Uncommon,N,1.0,Y
Tesak,R,tesak,20,Uncommon,N,1.0,Y
Juri,BR,juri,20,Uncommon,N,1.0,Y
Massacre Girl,B,massacre_girl,18,Uncommon,N,1.0,Y
Ashcoat,B,ashcoat,18,Common,N,1.0,Y
Greasefang,WB,greasefang,20,Rare,N,2.0,Y
Karumonix,B,karumonix,27,Rare,N,2.0,Y
Nashi,UBG,nashi,20,Uncommon,N,1.0,Y
Vren,UB,vren,20,Uncommon,N,1.0,Y
Wick,UBR,wick,20,Uncommon,N,1.0,Y
Brion,WR,brion,20,Rare,N,2.0,Y
Doran,WBG,doran,20,Uncommon,N,2.0,Y
Gaddock Teeg,WG,gaddock,20,Uncommon,N,1.0,Y
Nath,BG,nath,20,Uncommon,N,2.0,Y
Oona,UB,oona,20,Uncommon,N,1.0,Y
Wort,BR,wort,20,Rare,N,2.0,Y
Sygg,UB,sygg,20,Uncommon,N,2.0,Y
Chorus of the Conclave,WG,chorus_of_the_conclave,20,Rare,N,2.0,Y
Emmara,WG,emmara,20,Uncommon,N,2.0,Y
Tolsimir,WG,tolsimir,20,Rare,N,2.0,Y
Breena,WB,breena,20,Rare,N,2.0,Y
Felisa,WB,felisa,20,Rare,N,2.0,Y
Killian,WB,killian,20,Uncommon,N,1.0,Y
Shaile,WB,shaile,20,Rare,N,2.0,Y
Grunn,G,grunn,19,Uncommon,N,1.0,Y
Kibo,RG,kibo,20,Uncommon,N,1.0,Y
Ragavan,R,ragavan,20,Uncommon,N,1.0,Y
Lonis,UG,lonis,20,Uncommon,N,2.0,Y
Momir Vig,UG,momir_vig,20,Rare,N,2.0,Y
Roalesk,UG,roalesk,20,Uncommon,N,1.0,Y
The Pride of Hull Clade,UG,the_pride_of_hull_clade,20,Uncommon,N,1.0,Y
Vannifar,UG,vannifar,20,Rare,N,2.0,Y
Vorel,UG,vorel,20,Rare,N,2.0,Y
Alpharael,B,alpharael,17,Uncommon,N,1.0,Y
Haliya,W,haliya,23,Uncommon,N,1.0,Y
Kilo,WUR,kilo,20,Rare,N,2.0,Y
Mm'menon,U,mm'menon,18,Uncommon,N,1.0,Y
Ragost,WR,ragost,20,Rare,N,2.0,Y
Sami,WR,sami,20,Uncommon,N,2.0,Y
Szarel,BRG,szarel,20,Rare,N,2.0,Y
Tannuk,R,tannuk,26,Rare,N,2.0,Y
Bennie Bracks,W,bennie_bracks,18,Rare,N,2.0,Y
Lagrella,WUG,lagrella,20,Uncommon,N,1.0,Y
Perrie,WUG,perrie_the_pulverizer,20,Rare,N,2.0,Y
Rigo,WUG,rigo,20,Uncommon,N,1.0,Y
Kadena,UBG,kadena,20,Rare,N,2.0,Y
Sidisi,UBG,sidisi,20,Uncommon,N,1.0,Y
Tasigur,UBG,tasigur,20,Rare,N,2.0,Y
Teval,UBG,teval,20,Rare,N,2.0,Y
Surrak,URG,surrak,20,Rare,N,2.0,Y
Ureni,URG,ureni,20,Rare,N,2.0,Y
Yasova,URG,yasova,20,Rare,N,2.0,Y
Buxton,WG,buxton,20,Rare,N,2.0,Y
Byrke,WG,byrke,20,Rare,N,2.0,Y
Finneas,WG,finneas,20,Uncommon,N,1.0,Y
Hugs,RG,hugs,20,Rare,N,2.0,Y
Gev,BR,gev,20,Uncommon,N,1.0,Y
Mabel,WR,mabel,30,Uncommon,N,1.0,Y
Mr. Foxglove,WUG,mr_foxglove,20,Rare,N,2.0,Y
Bosh,R,bosh,22,Rare,N,2.0,Y
Graaz,C,graaz,20,Uncommon,N,1.0,Y
Gorm and Virtus,BG,gorm_and_virtus,20,Uncommon,N,1.0,Y
Grothama,G,grothama,22,Uncommon,N,1.0,Y
Khorvath and Sylvia,WR,khorvath_and_sylvia,20,Rare,N,2.0,Y
Pir and Toothy,UG,pir_and_toothy,20,Rare,N,2.0,Y
Regna and Krav,WB,regna_and_krav,20,Uncommon,N,1.0,Y
Okaun and Zndrsplt,UR,okaun_and_zndrsplt,20,Rare,N,2.0,Y
Alela,WUB,alela,20,Uncommon,N,1.0,Y
Tegwyll,UB,tegwyll,20,Uncommon,N,1.0,Y
Emry,U,emry,12,Common,N,0.1,Y
Rankle,B,rankle,22,Uncommon,N,1.0,Y
Grumgully,RG,grumgully,20,Uncommon,N,1.0,Y
Beluna,URG,beluna,20,Rare,N,2.0,Y
Dina,BG,dina,20,Uncommon,N,1.0,Y
Gyome,BG,gyome,20,Rare,N,2.0,Y
Valentin,BG,valentin,20,Uncommon,N,1.0,Y
Willowdusk,BG,willowdusk,20,Rare,N,2.0,Y
Sarulf,BG,sarulf,20,Uncommon,N,1.0,Y
Rahilda,R,rahilda,22,Uncommon,N,2.0,Y
Ulrich,RG,ulrich,20,Rare,N,2.0,Y
Anhelo,UBR,anhelo,20,Rare,N,2.0,Y
Cormela,UBR,cormela,20,Rare,N,2.0,Y
Evelyn,UBR,evelyn,20,Rare,N,2.0,Y
Ob Nixilis,BR,ob_nixilis,20,Uncommon,N,1.0,Y
Krampus,BR,krampus,20,Uncommon,N,1.0,Y
Rudolph,WUBRG,rudolph,20,Uncommon,N,1.0,Y
Mrs. Klaus,RG,mrs_klaus,20,Uncommon,N,1.0,Y
Radha,RG,radha,20,Uncommon,N,1.0,Y
Shalai and Hallar,WRG,shalai_and_hallar,20,Rare,N,2.0,Y
Syr Ginger,C,syr_ginger,20,Uncommon,N,1.0,Y
The Beamtown Bullies,BRG,the_beamtown_bullies,20,Uncommon,N,1.0,Y
Henzie,BRG,henzie,20,Rare,N,2.0,Y
Mr. Orfeo,BRG,mr_orfeo,20,Uncommon,N,1.0,Y
Ognis,BRG,ognis,20,Uncommon,N,2.0,Y
Blech,BG,blech,20,Uncommon,N,1.0,Y
Excava,WR,excava,20,Rare,N,2.0,Y
Gorma,BG,gorma,20,Rare,N,2.0,Y
Muddle,UR,muddle,20,Rare,N,2.0,Y
Primo,UG,primo,20,Rare,N,2.0,Y
Scriv,WB,scriv,20,Rare,N,2.0,Y
Arnyn,B,arnyn,18,Uncommon,N,1.0,Y
Aziza,WR,aziza,30,Uncommon,N,2.0,Y
Esika,WUBRG,esika,30,Rare,N,2.0,Y
Orysa,U,orysa,22,Uncommon,N,1.0,Y
Abigale,WB,abigale,30,Rare,N,2.0,Y
Sanar,UR,sanar,30,Common,N,0.1,Y
Kirol,WR,kirol,30,Rare,N,2.0,Y
Tam,UG,tam,30,Rare,N,2.0,Y
Lluwen,BG,lluwen,30,Rare,N,2.0,Y
The Dawning Archaic,C,the_dawning_archaic,40,Rare,N,1.0,Y
General Jarkeld,W,general_jarkeld,50,Mythic,N,3.0,Y
Hakim,U,hakim,53,Mythic,N,3.0,Y
Ihsan's Shade,B,ihsans_shade,26,Rare,N,2.0,Y
Márton Stromgald,R,márton_stromgald,50,Mythic,N,3.0,Y
Autumn Willow,G,autumn_willow,27,Rare,N,2.0,Y
Cat,GW,straycat,10,Uncommon,N,1.0,Y
Imp,R,imp,10,Common,N,0.1,Y
Karona (Boss),WUBRG,karona,80,Rare,Y,2.0,Y
King Rohgahh,RB,king_rohgahh,25,Common,Y,0.1,Y
Sorceress Queen Kaja,WUR,sorceressqueenkaja,30,Uncommon,Y,1.0,Y
